Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC5348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,2013/6/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Test Item,Site No,Device ID,Idle_H_Vbat_880,Idle_H_Vcc_880,Idle_H_Total_880,Pin_H_880,Pout_H_880,Gain_H_880,Icc_H_Vbat_880,Icc_H_Vcc_880,Icc_H_Total_880,PAE_H_Total_880,ACP_L_H_880,ACP_U_H_880,ALT_L_H_880,ALT_U_H_880,EVM_H_880,2fo_H_880,3fo_H_880,Pin_H_915,Pout_H_915,Gain_H_915,Icc_H_Vbat_915,Icc_H_Vcc_915,Icc_H_Total_915,PAE_H_Total_915,ACP_L_H_915,ACP_U_H_915,ALT_L_H_915,ALT_U_H_915,EVM_H_915,2fo_H_915,3fo_H_915,Leakage_Current,Test Time,Index Time
Low Tolerance,,,5,10,10,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,5,,
High Tolerance,,,5,10,10,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,5,,
Enable,,,1,1,1,1,0,0,0,1,1,,1,1,1,1,1,1,1,1,0,0,0,1,1,,1,1,1,1,1,1,1,1,,
27,1,27,2.59,78.6006,81.19006667,-1.1392,26.98506667,28.47166667,6.4012,381.9539333,388.3552,37.82433333,-39.4176,-39.6824,-52.70953333,-52.6198,1.672333333,-12.588,-28.2536,-0.666466667,26.97093333,28.52866667,6.4664,385.1154667,391.5814,37.39233333,-39.39626667,-39.00086667,-52.84546667,-52.52366667,1.9994,-12.97166667,-29.8234,4.662666667,399.536,11486
28,1,28,2.330666667,70.0386,72.3694,-0.014866667,26.9724,27.33433333,6.3282,385.2466,391.5745333,37.406,-39.06926667,-39.6594,-52.00086667,-51.99446667,1.617333333,-12.616,-26.3626,0.1482,26.97426667,27.718,6.4144,388.8811333,395.2950667,37.071,-41.2456,-41.16153333,-52.97146667,-52.51333333,1.6434,-12.788,-29.14773333,4.659666667,396.72,13618.33333
29,1,29,2.368333333,69.3056,71.67373333,-0.1762,26.97573333,27.49866667,6.284533333,381.7989333,388.0835333,37.76733333,-39.52626667,-39.8854,-51.8642,-51.69646667,1.420333333,-12.613,-27.1356,0.104866667,26.9716,27.75833333,6.2714,384.8614667,391.1327333,37.439,-40.95693333,-40.3682,-52.35713333,-51.816,1.684733333,-12.77733333,-29.01473333,4.647666667,383.684,13741
30,1,30,2.469333333,72.39026667,74.85973333,-0.378533333,26.9684,27.69366667,6.342533333,379.8609333,386.2038667,37.88733333,-38.9146,-39.4494,-52.22486667,-52.15013333,1.614333333,-12.61033333,-26.86693333,-0.1358,26.9706,27.998,6.382066667,383.4594667,389.8417333,37.555,-41.1526,-41.0432,-52.8998,-52.52666667,1.640066667,-12.81,-28.9524,4.657333333,380.4076667,15681
31,1,31,2.518333333,75.34393333,77.86273333,-0.557533333,26.97106667,27.87533333,6.485533333,385.4279333,391.9128667,37.36266667,-39.9046,-40.32006667,-52.67853333,-52.65313333,1.433666667,-12.586,-27.15493333,-0.181133333,26.9736,28.04633333,6.504066667,390.1154667,396.6194,36.944,-40.92893333,-40.49786667,-53.1118,-52.769,1.671066667,-13.03266667,-28.77673333,4.657333333,400.3073333,15137.33333
32,1,32,2.495666667,75.72726667,78.22306667,-0.8462,26.97173333,28.16533333,6.4142,384.3916,390.8055333,37.47366667,-39.7346,-40.07506667,-52.7652,-52.6288,1.544666667,-12.59333333,-27.3706,-0.528466667,26.96926667,28.38933333,6.437066667,388.9851333,395.4220667,37.01766667,-40.62626667,-40.20253333,-53.03513333,-52.618,1.794066667,-12.93533333,-29.34073333,4.659333333,408.5363333,15219.66667
33,1,33,2.5,74.99126667,77.49173333,-0.546866667,26.9604,27.855,6.383866667,382.2406,388.6245333,37.587,-39.4126,-39.80473333,-52.44353333,-52.3408,1.560666667,-12.6,-27.2836,-0.222466667,26.96993333,28.08366667,6.441066667,386.4571333,392.8980667,37.25933333,-40.81526667,-40.44253333,-52.8108,-52.40766667,1.7414,-12.875,-29.3614,4.655666667,396.2316667,12177.33333
34,1,34,2.545333333,77.5126,80.0584,-0.917866667,26.97073333,28.236,6.462533333,385.3846,391.8475333,37.36566667,-39.7256,-40.22873333,-52.8012,-52.68346667,1.548,-12.602,-27.2206,-0.6718,26.9656,28.529,6.438733333,388.3948,394.8337333,37.03966667,-40.88793333,-40.58153333,-53.35713333,-52.92266667,1.7454,-12.86633333,-29.54306667,4.659666667,399.967,12111.33333
35,1,35,2.568666667,77.0476,79.6164,-0.587866667,26.96506667,27.90066667,6.4752,384.6582667,391.1335333,37.387,-39.5506,-40.04573333,-52.78386667,-52.63213333,1.427666667,-12.593,-26.69226667,-0.391466667,26.97726667,28.26066667,6.5584,389.4648,396.0230667,37.02866667,-41.40126667,-41.20586667,-53.4878,-53.04433333,1.564733333,-12.971,-28.78206667,4.654333333,386.3726667,13214.66667
36,1,36,2.455333333,72.58493333,75.0404,0.562133333,26.9804,26.76566667,6.5122,386.9312667,393.4435333,37.3,-39.4246,-39.89873333,-51.7452,-51.71846667,1.523333333,-12.62133333,-26.02026667,0.635533333,26.9686,27.22433333,6.4774,389.1238,395.6014,36.99333333,-41.70726667,-41.3422,-52.80146667,-52.34466667,1.5414,-12.762,-28.9394,4.667,394.652,10558.66667
